LS random
maxIter, NumGen, %Aciertos, Tiempo
15, 10, 3, 83.2599, 0.5
40, 20, 3, 81.7181, 0.5
50, 30, 3, 90.7489, 1.5
100, 60, 3, 92.2907, 4
150, 80, 3, 90.7489, 3

LS relief
maxIter, NumGen, %Aciertos, Tiempo
15, 10, 3, 89.4273, 0
40, 20, 3, 93.1718, 1
50, 30, 3, 92.0705, 1
100, 60, 3, 91.63, 1.5
150, 80, 3, 93.1718, 2.5

ILS random
maxIter, NumGen, maxIterWC, %Aciertos, Tiempo
15, 10, 3, 83.9207, 1
40, 20, 3, 91.8502, 3
50, 30, 3, 93.8326, 7
100, 60, 3, 94.9339, 25.5
150, 80, 3, 94.7137, 27.5
15, 10, 4, 90.0881, 1.5
40, 20, 4, 92.0705, 7
50, 30, 4, 95.1542, 11.5
100, 60, 4, 95.3744, 25
150, 80, 4, 96.696, 34.5

ILS relief
maxIter, NumGen, maxIterWC, %Aciertos, Tiempo
15, 10, 3, 91.4097, 1
40, 20, 3, 93.6123, 3.5
50, 30, 3, 93.3921, 6
100, 60, 3, 94.7137, 10.5
150, 80, 3, 95.5947, 20.5
15, 10, 4, 90.7489, 1.5
40, 20, 4, 92.2907, 2.5
50, 30, 4, 93.6123, 6
100, 60, 4, 95.3744, 16.5
150, 80, 4, 96.0352, 23.5

SA random
maxIter, NumGen, temp %Aciertos, Tiempo
15, 2, 100, 100, 81.9383, 0.393873
15, 4, 100, 100, 88.1057, 1.70711
15, 8, 100, 100, 95.815, 14.3292
15, 16, 100, 100, 96.2555, 137.921
40, 2, 100, 100, 92.2907, 1.27919
40, 4, 100, 100, 94.2731, 5.7194
40, 8, 100, 100, 96.0352, 39.2137
40, 16, 100, 100, 96.9163, 354.368
50, 2, 100, 100, 94.2731, 1.48484
50, 4, 100, 100, 94.2731, 6.12073
50, 8, 100, 100, 96.696, 52.372
50, 16, 100, 100, 96.9163, 445.535
100, 2, 100, 100, 93.6123, 3.03059
100, 4, 100, 100, 94.7137, 11.665
100, 8, 100, 100, 96.2555, 90.7215
100, 16, 100, 100,
15, 2, 50, 100, 84.141, 0.453956
15, 4, 50, 100, 92.0705, 2.06082
15, 8, 50, 100, 95.1542, 13.1658
15, 16, 50, 100,
40, 2, 50, 100, 90.0881, 1.25744
40, 4, 50, 100, 95.1542, 5.39478
40, 8, 50, 100, 96.696, 27.4816
40, 16, 50, 100,
50, 2, 50, 100, 92.9515, 1.43874
50, 4, 50, 100, 93.6123, 5.73546
50, 8, 50, 100, 95.815, 50.0533
50, 16, 50, 100,
100, 2, 50, 100, 94.4934, 2.77218
100, 4, 50, 100, 95.3744, 12.2462
100, 8, 50, 100, 96.696, 96.8671
100, 16, 50, 100,
15, 2, 50, 50, 84.141, 0.45967
15, 4, 50, 50, 92.0705, 2.06338
15, 8, 50, 50, 95.1542, 12.5151
40, 2, 50, 50, 90.0881, 1.26065
5, 4, 50, 50, 99.1667, 0.0171715
40, 8, 50, 50, 96.0352, 26.7602
50, 2, 50, 50, 92.9515, 1.45356
