LS random
maxIter, NumGen, %Aciertos, Tiempo
2, 3,  95.8333, 0
5, 4,  96.6667, 0
10, 8,  97.5, 0.5
50, 20, 98.3333, 0
100, 60, 97.5, 0

LS relief
maxIter, NumGen, %Aciertos, Tiempo
2, 3, 95.8333, 0
5, 4, 95.8333, 0
10, 8, 97.5, 0
50, 20, 97.5, 0
100, 60, 97.5, 0

ILS random
maxIter, NumGen, maxIterWC, %Aciertos, Tiempo
2, 3, 3, 97.5, 0
5, 4, 3, 97.5, 0
10, 8, 3, 97.5, 0
50, 20, 3, 98.3333, 0
100, 60, 3, 97.5, 0
2, 3, 4, 97.5, 0
5, 4, 4, 98.3333, 0
10, 8, 4, 97.5, 0
50, 20, 4, 98.3333, 0
100, 60, 4, 98.3333, 0

ILS relief
maxIter, NumGen, maxIterWC, %Aciertos, Tiempo
2, 3, 3, 97.5, 0
5, 4, 3, 96.6667, 0
10, 8, 3, 97.5, 0
50, 20, 3, 97.5, 0
100, 60, 3, 98.3333, 0.5
2, 3, 4, 96.6667, 0
5, 4, 4, 95.8333, 0
10, 8, 4, 97.5, 0
50, 20, 4, 97.5, 0
100, 60, 4, 98.3333, 0

SA random
maxIter, NumGen, temp, estable, %Aciertos, Tiempo
2, 2, 100, 100, 95.8333, 0.001733
2, 4, 100, 100, 97.5, 0.004499
2, 8, 100, 100, 99.1667, 0.032917
2, 16, 100, 100, 99.1667, 0.516997
5, 2, 100, 100, 97.5, 0.006576
5, 4, 100, 100, 97.5, 0.0093115
5, 8, 100, 100, 99.1667, 0.107548
5, 16, 100, 100, 99.1667, 1.33503
10, 2, 100, 100, 98.3333, 0.0093325
10, 4, 100, 100, 98.3333, 0.0238445
10, 8, 100, 100, 99.1667, 0.195268
10, 16, 100, 100, 99.1667, 2.53034
50, 2, 100, 100, 99.1667, 0.0323935
50, 4, 100, 100, 99.1667, 0.1334
50, 8, 100, 100, 99.1667, 1.05187
50, 16, 100, 100,
2, 2, 50, 100, 95.8333, 0.00215
2, 4, 50, 100, 97.5, 0.0045365
2, 8, 50, 100, 99.1667, 0.0338565
2, 16,500, 100,
5, 2, 50, 100, 97.5, 0.0064175
5, 4, 50, 100, 97.5, 0.0088875
5, 8, 50, 100, 99.1667, 0.0691405
5, 16, 50, 100,
10, 2, 50, 100, 98.3333, 0.0094815
10, 4, 50, 100, 98.3333, 0.023769
10, 8, 50, 100, 99.1667, 0.178455
10, 16, 50, 100,
50, 2, 50, 100, 98.3333, 0.0351035
50, 4, 50, 100, 99.1667, 0.135018
50, 8, 50, 100, 99.1667, 0.916302
50, 16, 50, 100,
2, 2, 50, 50, 95.8333, 0.002976
2, 4, 50, 50, 97.5, 0.0052245
2, 8, 50, 50, 99.1667, 0.0337035
5, 2, 50, 50, 97.5, 0.0064165
5, 4, 50, 50, 97.5, 0.0110045
5, 8, 50, 50, 99.1667, 0.069088
10, 2, 50, 50, 98.3333, 0.012835
10, 4, 50, 50, 98.3333, 0.0270595
10, 8, 50, 50, 99.1667, 0.180071
50, 2, 50, 50, 98.3333, 0.0356615
50, 4, 50, 50, 99.1667, 0.135627
50, 8, 50, 50, 99.1667, 0.846995

SA relief
maxIter, NumGen, temp %Aciertos, Tiempo
2, 2, 100, 100, 96.6667, 0.0019035
2, 4, 100, 100, 97.5, 0.0048015
2, 8, 100, 100, 99.1667, 0.035221
2, 16, 100, 100, 99.1667, 0.540506
5, 2, 100, 100, 97.5, 0.004302
5, 4, 100, 100, 99.1667, 0.017063
5, 8, 100, 100, 99.1667, 0.117603
5, 16, 100, 100, 99.1667, 1.18248
10, 2, 100, 100, 97.5, 0.0094085
10, 4, 100, 100, 99.1667, 0.025932
10, 8, 100, 100, 99.1667, 0.23537
10, 16, 100, 100, 99.1667, 2.24277
50, 2, 100, 100, 99.1667, 0.0350055
50, 4, 100, 100, 99.1667, 0.150114
50, 8, 100, 100, 99.1667, 1.15374
50, 16, 100, 100,
2, 2, 50, 100, 96.6667, 0.001921
2, 4, 50, 100, 97.5, 0.0048055
2, 8, 50, 100, 98.3333, 0.054577
2, 16,500, 100,
5, 4, 50, 100, 99.1667, 0.0171175
5, 8, 50, 100, 99.1667, 0.165833
5, 16, 50, 100,
10, 2, 50, 100, 97.5, 0.0094955
5, 2, 50, 100, 97.5, 0.004304
10, 4, 50, 100, 93.3333, 0
10, 8, 50, 100, 99.1667, 0.23754
10, 16, 50, 100,
50, 2, 50, 100, 98.3333, 0.038803
50, 4, 50, 100, 99.1667, 0.145719
50, 8, 50, 100, 99.1667, 1.26785
50, 16, 50, 100,
2, 2, 50, 50, 96.6667, 0.0018985
2, 4, 50, 50, 97.5, 0.0048055
2, 8, 50, 50, 98.3333, 0.05585
5, 2, 50, 50, 97.5, 0.0043505
5, 4, 50, 50, 99.1667, 0.0171715
5, 8, 50, 50, 99.1667, 0.165803
10, 2, 50, 50, 97.5, 0.0085295
10, 4, 50, 50, 99.1667, 0.0274365
10, 8, 50, 50, 99.1667, 0.230878
50, 2, 50, 50, 98.3333, 0.0389235
50, 4, 50, 50, 99.1667, 0.146285
50, 8, 50, 50, 99.1667, 1.06618

Scatter random
maxIter, popSize, maxIterWC, %Aciertos, Tiempo
2, 5, 2, 95, 0.0086605
2, 5, 4, 95, 0.00808
2, 5, 6, 95, 0.0092595
2, 5, 8, 95, 0.00885
5, 5, 2, 93.3333, 0.012706
5, 5, 4, 87.5, 0.0192435
5, 5, 6, 90, 0.0184685
5, 5, 8, 90, 0.0184575
10, 5, 2, 93.3333, 0.0125875
10, 5, 4, 87.5, 0.0193645
10, 5, 6, 89.1667, 0.025239
10, 5, 8, 88.3333, 0.034428
2, 10, 2, 85.8333, 0.034852
2, 10, 4, 85.8333, 0.0331605

Scatter relief
maxIter, popSize, maxIterWC, %Aciertos, Tiempo
2, 5, 2, 93.3333, 0.008101
2, 5, 4, 93.3333, 0.0080985
2, 5, 6, 93.3333, 0.008144
2, 5, 8, 93.3333, 0.00814
5, 5, 2, 93.3333, 0.0116095
5, 5, 4, 91.6667, 0.018383
5, 5, 6, 91.6667, 0.0184245
5, 5, 8, 91.6667, 0.0189
10, 5, 2, 93.3333, 0.011515
10, 5, 4, 91.6667, 0.0184315
10, 5, 6, 91.6667, 0.0251665
10, 5, 8, 86.6667, 0.0321835
2, 10, 2, 85, 0.032882
2, 10, 4, 85, 0.033101


DE
maxIter, popSize, CR, F, %Aciertos, Tiempo
2, 5, 0.3, 0.3, 6, 97.5, 0.005582
2, 5, 0.5, 0.3, 97.5, 0.0045245
2, 5, 0.7, 0.3, 97.5, 0.005204
2, 5, 0.3, 0.5, 97.5, 0.0044515
2, 5, 0.5, 0.5, 98.3333, 0.005593
2, 5, 0.7, 0.5, 98.3333, 0.00463
2, 5, 0.3, 0.7, 97.5, 0.0056275
2, 5, 0.5, 0.7, 97.5, 0.0053335
2, 5, 0.7, 0.7, 97.5, 0.0053775
2, 10, 0.3, 0.3, 96.6667, 0.009656
2, 10, 0.5, 0.3, 96.6667, 0.00874
2, 10, 0.7, 0.3, 96.6667, 0.009636
2, 10, 0.3, 0.5, 96.6667, 0.009811
2, 10, 0.5, 0.5, 96.6667, 0.009863
2, 10, 0.7, 0.5, 96.6667, 0.009428
2, 10, 0.3, 0.7, 96.6667, 0.0088645
2, 10, 0.5, 0.7, 96.6667, 0.0098275
2, 10, 0.7, 0.7, 97.5, 0.0096955
2, 20, 0.3, 0.3, 97.5, 0.017315
2, 20, 0.5, 0.3, 97.5, 0.018251
2, 20, 0.7, 0.3, 97.5, 0.0183435
2, 20, 0.3, 0.5, 97.5, 0.018105
2, 20, 0.5, 0.5, 97.5, 0.018347
2, 20, 0.7, 0.5, 98.3333, 0.017279
2, 20, 0.3, 0.7, 97.5, 0.0173245
2, 20, 0.5, 0.7, 97.5, 0.017426
2, 20, 0.7, 0.7, 97.5, 0.017672
10, 5, 0.3, 0.3, 97.5, 0.005817
10, 5, 0.5, 0.3, 97.5, 0.0093115
10, 5, 0.7, 0.3, 97.5, 0.0088175
10, 5, 0.3, 0.5, 97.5, 0.011418
10, 5, 0.5, 0.5, 98.3333, 0.007922
10, 5, 0.7, 0.5, 98.3333, 0.0147545
10, 5, 0.3, 0.7, 98.3333, 0.0087395
10, 5, 0.5, 0.7, 98.3333, 0.011561
10, 5, 0.7, 0.7, 97.5, 0.0086975
10, 10, 0.3, 0.3, 97.5, 0.0309365
10, 10, 0.5, 0.3, 97.5, 0.0275555
10, 10, 0.7, 0.3, 98.3333, 0.034218
10, 10, 0.3, 0.5, 97.5, 0.03083
10, 10, 0.5, 0.5, 97.5, 0.0322265
10, 10, 0.7, 0.5, 98.3333, 0.031213
10, 10, 0.3, 0.7, 97.5, 0.031183
